token,valid,rank,error
0000548db87959c2,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
001b34b45b2f50e4,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
003a1fdca9505c09,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
006d30e1af265b1e,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
00a757f8d4e45f8c,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
00f49d71f0eb507b,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
012ca60989175c54,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
013ec5b715635a66,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
01518f6335d75c16,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
018690bcb255590d,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
01c019a7360f5445,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
01f3a4a21dc2582f,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
020ba7462c6f52b3,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
024d89a3e1e752dc,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
0278f1a2ae3b5ae5,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
02c173ffafdd5be5,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
02e3c48291855ae8,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
03059436fa185bf8,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
03503ef42eeb5573,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
037698dae8d65558,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
039e37993d565b25,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
03c2e332abb25034,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
04352eb4cb195fde,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
0451b850addd591c,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
04676f5bccee5447,False,0,/mnt/chenpeijian/autodrive/StreetWorld/lead/3rd_party/navsim_workspace/dataset/maps does not exist!
