token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,nuscenes_l2_1s_m,nuscenes_collision_1s_pct,nuscenes_l2_2s_m,nuscenes_collision_2s_pct,nuscenes_l2_3s_m,nuscenes_collision_3s_pct
0000548db87959c2,True,0,1.633458137512207,1633.458137512207,trajectory_only,1.0,21770.56982421875,21826.19287109375,34528.48876953125,12757.9189453125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.8724197588990326,1.0,,1.0,1.0,1.0,,,0.9468415662079303,0.9468415662079303,0.40495914220809937,0.0,1.7160340547561646,0.0,4.2858734130859375,0.0
001b34b45b2f50e4,True,0,1.6213744897395372,1621.3744897395372,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.08510896563529968,0.0,0.2829090356826782,0.0,0.14951887726783752,0.0
003a1fdca9505c09,True,0,1.6238323841243982,1623.8323841243982,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9537324593237473,1.0,,1.0,1.0,1.0,,,0.9807218580515613,0.9807218580515613,0.0752146765589714,0.0,0.2535659372806549,0.0,0.5946140289306641,0.0
006d30e1af265b1e,True,0,1.6278966572135687,1627.8966572135687,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.7892922991936279,1.0,,1.0,1.0,1.0,,,0.9122051246640116,0.9122051246640116,0.3857082426548004,0.0,0.2886040210723877,0.0,1.0837256908416748,0.0
00a757f8d4e45f8c,True,0,1.627776736393571,1627.776736393571,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.927133044633739,1.0,,1.0,1.0,1.0,,,0.9696387685973913,0.9696387685973913,0.20193058252334595,0.0,0.1042243018746376,0.0,0.652205765247345,0.0
00f49d71f0eb507b,True,0,1.6320781242102385,1632.0781242102385,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.14094363148161376,1.0,,1.0,1.0,1.0,,,0.6420598464506724,0.6420598464506724,0.1838880032300949,0.0,0.7098667025566101,0.0,2.288267135620117,0.0
012ca60989175c54,True,0,1.6382118947803974,1638.2118947803974,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.2611183822154999,0.0,0.08353356271982193,0.0,0.07054613530635834,0.0
013ec5b715635a66,True,0,1.638133181259036,1638.133181259036,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.17942900955677032,0.0,0.38862720131874084,0.0,0.4740477204322815,0.0
01518f6335d75c16,True,0,1.6403682120144367,1640.3682120144367,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.6068963246883403,1.0,,1.0,1.0,1.0,,,0.8362068019534751,0.8362068019534751,0.237566739320755,0.0,0.2595798075199127,0.0,0.9423549771308899,0.0
018690bcb255590d,True,0,1.6399092078208923,1639.9092078208923,trajectory_only,1.0,21826.19287109375,21826.19384765625,34528.48974609375,12702.296875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9933089302561324,1.0,,1.0,1.0,1.0,,,0.9972120542733885,0.9972120542733885,0.2328842133283615,0.0,0.3539876341819763,0.0,0.44008567929267883,0.0
